PRODUCT_ID	PRODUCT_NAME	CATEGORY	PRICE_USD	STOCK_QTY	SUPPLIER
P-5001	Wireless Earbuds Pro	Electronics	79.99	340	SoundCore Ltd
P-5002	Mechanical Keyboard	Electronics	129.99	215	KeyTech Inc
P-5003	Ergonomic Office Chair	Furniture	349.00	58	ComfortPlus
P-5004	Stainless Steel Water Bottle	Kitchen	24.99	870	HydroGoods
P-5005	Yoga Mat Premium	Sports	45.00	430	FlexFit
P-5006	Laptop Stand Adjustable	Electronics	54.99	190	DeskPro
P-5007	Cast Iron Skillet	Kitchen	39.95	310	IronChef Co
P-5008	Running Shoes Ultra	Sports	119.00	275	StrideFast
P-5009	LED Desk Lamp	Electronics	34.99	520	BrightWorks
P-5010	Memory Foam Pillow	Furniture	59.00	140	SleepWell
P-5011	Protein Powder 2kg	Health	54.00	395	NutriPeak
P-5012	Bluetooth Speaker	Electronics	89.99	230	WaveSound
